Component,Origin,License,Copyright
go.sum,4d63.com/embedfiles,MIT,2017 Leigh McCulloch
go.sum,4d63.com/tz,MIT and BSD,2018 Leigh McCulloch; 2009 The Go Authors
go.sum,cloud.google.com/go,Apache-2.0,2014 Google LLC
go.sum,cloud.google.com/go/bigquery,Apache-2.0,2014 Google LLC
go.sum,cloud.google.com/go/datastore,Apache-2.0,2014 Google LLC
go.sum,github.com/BurntSushi/toml,MIT,2013 TOML authors
go.sum,github.com/BurntSushi/xgb,BSD-3-Clause,2009 The XGB Authors
go.sum,github.com/DataDog/datadog-api-client-go,Apache-2.0,2019-Present Datadog, Inc.
go.sum,github.com/DataDog/datadog-go,MIT,2015 Datadog, Inc
go.sum,github.com/DataDog/dd-trace-go,Apache-2.0 OR BSD-3-Clause,2016-Present Datadog, Inc.
go.sum,github.com/agext/levenshtein,Apache-2.0,2016 ALRUX Inc.
go.sum,github.com/agl/ed25519,BSD-3-Clause,2012 The Go Authors
go.sum,github.com/apparentlymart/go-cidr,MIT,2015 Martin Atkins
go.sum,github.com/apparentlymart/go-dump,MPL-2.0,
go.sum,github.com/apparentlymart/go-textseg,MIT and Apache-2.0 and Unicode-DFS-2016,2017 Martin Atkins and 2014 Couchbase Inc. and 2016 Unicode Inc
go.sum,github.com/armon/go-radix,MIT,2014 Armon Dadgar
go.sum,github.com/aslakhellesoy/gox,MPL-2.0,
go.sum,github.com/aws/aws-sdk-go,Apache-2.0,2014-2015 Stripe Inc. and 2015 Amazon.com Inc.
go.sum,github.com/bgentry/go-netrc,MIT,2010 Fazlul Shahriar and 2014 Blake Gentry
go.sum,github.com/bgentry/speakeasy,MIT,2017 Blake Gentry
go.sum,github.com/cenkalti/backoff,MIT,2014 Cenk Altı
go.sum,github.com/census-instrumentation/opencensus-proto,Apache-2.0,2019, OpenCensus Authors
go.sum,github.com/cheggaaa/pb,BSD-3-Clause,2012-2015 Sergey Cherepanov
go.sum,github.com/client9/misspell,MIT,2015-2017 Nick Galbreath
go.sum,github.com/creack/pty,MIT,2011 Keith Rarick
go.sum,github.com/cucumber/gherkin-go/v13,MIT,Cucumber Ltd and Gaspar Nagy and Björn Rasmusson and Peter Sergeant
go.sum,github.com/cucumber/messages-go/v12,MIT,Cucumber Ltd
go.sum,github.com/davecgh/go-spew,ISC,2012-2016 Dave Collins <dave@davec.name>
go.sum,github.com/dnaeon/go-vcr,BSD-2-Clause,2015-2016 Marin Atanasov Nikolov <dnaeon@gmail.com>
go.sum,github.com/envoyproxy/go-control-plane,Apache-2.0,2018 Envoyproxy Authors
go.sum,github.com/envoyproxy/protoc-gen-validate,Apache-2.0,2019 Envoy Project Authors
go.sum,github.com/fatih/color,MIT,2013 Fatih Arslan
go.sum,github.com/go-bdd/assert,MIT,2020 GoBDD
go.sum,github.com/go-bdd/gobdd,MIT,2019 Bartłomiej Klimczak
go.sum,github.com/go-test/deep,MIT,2015-2017 Daniel Nichter
go.sum,github.com/gofrs/uuid,MIT,2013-2018 by Maxim Bublis <b@codemonkey.ru>
go.sum,github.com/gogo/protobuf,BSD-3-Clause,2010 The Go Authors and 2013 The GoGo Authors
go.sum,github.com/golang/glog,Apache-2.0,2013 Google Inc.
go.sum,github.com/golang/mock,Apache-2.0,2020 Google Inc.
go.sum,github.com/golang/protobuf,BSD-3-Clause,2010 The Go Authors
go.sum,github.com/golang/snappy,BSD-3-Clause,2011 The Snappy-Go Authors
go.sum,github.com/google/btree,Apache-2.0,2014 Google Inc.
go.sum,github.com/google/go-cmp,BSD-3-Clause,2017 The Go Authors
go.sum,github.com/google/martian,Apache-2.0,2015 Google Inc.
go.sum,github.com/google/pprof,Apache-2.0,2014 Google Inc.
go.sum,github.com/google/uuid,BSD-3-Clause,2009-2014 Google Inc.
go.sum,github.com/googleapis/gax-go/v2,BSD-3-Clause,2016 Google Inc.
go.sum,github.com/h2non/parth,MIT,2018 codemodus
go.sum,github.com/hashicorp/errwrap,MPL-2.0,
go.sum,github.com/hashicorp/go-cleanhttp,MPL-2.0,
go.sum,github.com/hashicorp/go-getter,MPL-2.0,
go.sum,github.com/hashicorp/go-hclog,MIT,2017 HashiCorp
go.sum,github.com/hashicorp/go-multierror,MPL-2.0,
go.sum,github.com/hashicorp/go-plugin,MPL-2.0,
go.sum,github.com/hashicorp/go-safetemp,MPL-2.0,
go.sum,github.com/hashicorp/go-uuid,MPL-2.0,
go.sum,github.com/hashicorp/go-version,MPL-2.0,
go.sum,github.com/hashicorp/golang-lru,MPL-2.0,
go.sum,github.com/hashicorp/hcl,MPL-2.0,
go.sum,github.com/hashicorp/hcl/v2,MPL-2.0,
go.sum,github.com/hashicorp/logutils,MPL-2.0,
go.sum,github.com/hashicorp/terraform-config-inspect,MPL-2.0,
go.sum,github.com/hashicorp/terraform-json,MPL-2.0,
go.sum,github.com/hashicorp/terraform-plugin-sdk,MPL-2.0,
go.sum,github.com/hashicorp/terraform-plugin-test,MPL-2.0,
go.sum,github.com/hashicorp/terraform-svchost,MPL-2.0,
go.sum,github.com/hashicorp/yamux,MPL-2.0,
go.sum,github.com/jmespath/go-jmespath,Apache-2.0,2015 James Saryerwinnie
go.sum,github.com/jonboulle/clockwork,Apache-2.0,
go.sum,github.com/jstemmer/go-junit-report,MIT,2012 Joel Stemmer
go.sum,github.com/keybase/go-crypto,BSD-3-Clause,2009 The Go Authors
go.sum,github.com/kisielk/errcheck,MIT,2013 Kamil Kisiel
go.sum,github.com/kisielk/gotool,MIT,2013 Kamil Kisiel <kamil@kamilkisiel.net>
go.sum,github.com/kr/pretty,MIT,2012 Keith Rarick
go.sum,github.com/kr/pty,MIT,2019 Keith Rarick
go.sum,github.com/kr/text,MIT,2012 Keith Rarick
go.sum,github.com/kylelemons/godebug,Apache-2.0,2013 Google Inc
go.sum,github.com/mattn/go-colorable,MIT,2016 Yasuhiro Matsumoto
go.sum,github.com/mattn/go-isatty,MIT,Yasuhiro MATSUMOTO <mattn.jp@gmail.com>
go.sum,github.com/mattn/go-runewidth,MIT,2016 Yasuhiro Matsumoto
go.sum,github.com/mcuadros/go-lookup,MIT,2015 Máximo Cuadros
go.sum,github.com/mitchellh/cli,MPL-2.0,
go.sum,github.com/mitchellh/colorstring,MIT,2014 Mitchell Hashimoto
go.sum,github.com/mitchellh/copystructure,MIT,2014 Mitchell Hashimoto
go.sum,github.com/mitchellh/go-homedir,MIT,2013 Mitchell Hashimoto
go.sum,github.com/mitchellh/go-testing-interface,MIT,2016 Mitchell Hashimoto
go.sum,github.com/mitchellh/go-wordwrap,MIT,2014 Mitchell Hashimoto
go.sum,github.com/mitchellh/iochan,MIT,2015 Mitchell Hashimoto
go.sum,github.com/mitchellh/mapstructure,MIT,2013 Mitchell Hashimoto
go.sum,github.com/mitchellh/reflectwalk,MIT,2013 Mitchell Hashimoto
go.sum,github.com/nbio/st,Apache-2.0,2014 nb.io LLC
go.sum,github.com/niemeyer/pretty,MIT,2012 Keith Rarick
go.sum,github.com/oklog/run,Apache-2.0,
go.sum,github.com/opentracing/opentracing-go,Apache-2.0,
go.sum,github.com/philhofer/fwd,MIT,2014-2015 Philip Hofer
go.sum,github.com/pierrec/lz4,BSD-3-Clause,2015 Pierre Curto
go.sum,github.com/pkg/errors,BSD-2-Clause,2015 Dave Cheney <dave@cheney.net>
go.sum,github.com/pmezard/go-difflib,BSD-3-Clause,2013 Patrick Mezard
go.sum,github.com/posener/complete,MIT,2017 Eyal Posener
go.sum,github.com/prometheus/client_model,Apache-2.0,2012-2015 The Prometheus Authors
go.sum,github.com/sergi/go-diff,MIT,2012-2016 The go-diff Authors
